id_company,date_waste,kitchen,shift,type_waste,weight,covers,heatmap,heatmap_text
APAC Hyatt Solo SOCAL,2022-05-24,Agra,Dinner,plate,0.4,30.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-29,Cafe,Breakfast,buffet,1.1,120.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-29,Cafe,Breakfast,buffet,1.6,120.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-29,Cafe,Breakfast,buffet,2.4,120.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-29,Cafe,Breakfast,buffet,5.8,120.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-29,Cafe,Breakfast,preparation,12.1,120.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-29,Cafe,Breakfast,preparation,0.5,120.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-29,Cafe,Breakfast,preparation,5.1,120.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-29,Cafe,Breakfast,plate,36.0,120.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-29,Cafe,Lunch,buffet,1.6,337.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-29,Cafe,Lunch,buffet,2.8,337.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-29,Cafe,Lunch,preparation,11.1,337.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-29,Cafe,Lunch,preparation,5.8,337.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-29,Cafe,Lunch,plate,15.0,337.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-29,Cafe,Dinner,buffet,2.6,208.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-29,Cafe,Dinner,buffet,2.6,208.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-29,Cafe,Dinner,buffet,5.0,208.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-29,Cafe,Dinner,buffet,2.3,208.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-29,Cafe,Dinner,buffet,2.3,208.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-29,Cafe,Dinner,buffet,3.4,208.0,0.0,OK
