id_company,date_waste,kitchen,shift,type_waste,weight,covers,heatmap,heatmap_text
APAC Hyatt Seoul SELRS,2022-04-09,Bakery,Lunch,preparation,0.2,,1.0,C
APAC Hyatt Solo SOCAL,2022-04-09,Epice,Breakfast,preparation,9.0,,1.0,C
APAC Hyatt Solo SOCAL,2022-04-09,Epice,Breakfast,spoilage,0.1,,1.0,C
APAC Hyatt Solo SOCAL,2022-04-09,Epice,Breakfast,spoilage,0.141,,1.0,C
APAC Hyatt Solo SOCAL,2022-04-09,Epice,Breakfast,spoilage,0.15,,1.0,C
APAC Hyatt Solo SOCAL,2022-04-09,Epice,Breakfast,spoilage,0.46,,1.0,C
APAC Hyatt Solo SOCAL,2022-04-09,Epice,Breakfast,spoilage,0.5,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-09,Bakery,Breakfast,buffet,1.2,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-09,Bakery,Breakfast,preparation,0.78,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-08,Banquet,Dinner,plate,65.48,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-08,Bakery,Dinner,buffet,1.2,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-08,Banquet,Dinner,preparation,7.5,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-08,Bakery,Dinner,buffet,1.0,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-08,Bakery,Dinner,buffet,1.1,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-08,Bakery,Dinner,buffet,4.58,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-08,Commissary,Lunch,preparation,33.0,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-08,Commissary,Lunch,preparation,1.8,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-08,Commissary,Breakfast,preparation,0.3,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-08,Commissary,Breakfast,preparation,49.0,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-08,Bakery,Lunch,buffet,1.0,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-08,Bakery,Lunch,buffet,4.0,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-08,Bakery,Lunch,preparation,24.0,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-08,Bakery,Lunch,preparation,2.1,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-08,Bakery,Lunch,preparation,1.99,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-08,Bakery,Lunch,preparation,0.74,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-07,Bakery,Dinner,buffet,5.0,,1.0,C
APAC Hyatt Bangkok BANGH,2022-04-07,Event,Lunch,preparation,5.0,,1.0,C
